rx_index,time_ns,softOut,rx_bit,tx_bit
334,340885000,-40,1,1
335,341885000,38,0,0
336,342885000,-38,1,1
337,343885000,38,0,0
338,344885000,-40,1,1
339,345885000,-42,1,1
340,346885000,42,0,0
341,347885000,42,0,0
342,348885000,-42,1,1
343,349885000,-40,1,1
344,350885000,40,0,0
345,351885000,-40,1,1
346,352885000,-42,1,1
347,353885000,42,0,0
348,354885000,46,0,0
349,355885000,48,0,0
350,356885000,46,0,0
351,357885000,40,0,0
352,358885000,-38,1,1
353,359885000,38,0,0
354,360885000,-38,1,1
355,361885000,40,0,0
356,362885000,46,0,0
357,363885000,40,0,0
358,364885000,-38,1,1
359,365885000,38,0,0
360,366885000,-38,1,1
361,367885000,40,0,0
362,368885000,46,0,0
363,369885000,48,0,0
364,370885000,48,0,0
365,371885000,46,0,0
366,372885000,40,0,0
367,373885000,-38,1,1
368,374885000,38,0,0
369,375885000,-38,1,1
370,376885000,40,0,0
371,377885000,46,0,0
372,378885000,48,0,0
373,379885000,46,0,0
374,380885000,40,0,0
375,381885000,-38,1,1
376,382885000,38,0,0
377,383885000,-38,1,1
378,384885000,40,0,0
379,385885000,42,0,0
380,386885000,-42,1,1
381,387885000,-46,1,1
382,388885000,-42,1,1
383,389885000,42,0,0
384,390885000,46,0,0
385,391885000,46,0,0
386,392885000,42,0,0
387,393885000,-42,1,1
388,394885000,-42,1,1
389,395885000,42,0,0
390,396885000,40,0,0
391,397885000,-40,1,1
392,398885000,40,0,0
393,399885000,42,0,0
394,400885000,-42,1,1
395,401885000,-46,1,1
396,402885000,-40,1,1
397,403885000,40,0,0
398,404885000,-40,1,1
399,405885000,-46,1,1
400,406885000,-42,1,1
401,407885000,42,0,0
402,408885000,42,0,0
403,409885000,-42,1,1
404,410885000,-40,1,1
405,411885000,38,0,0
406,412885000,-38,1,1
407,413885000,38,0,0
408,414885000,-38,1,1
409,415885000,40,0,0
410,416885000,40,0,0
411,417885000,-38,1,1
412,418885000,38,0,0
413,419885000,-40,1,1
414,420885000,-40,1,1
415,421885000,38,0,0
416,422885000,-38,1,1
417,423885000,40,0,0
418,424885000,46,0,0
419,425885000,48,0,0
420,426885000,46,0,0
421,427885000,40,0,0
422,428885000,-38,1,1
423,429885000,38,0,0
424,430885000,-40,1,1
425,431885000,-46,1,1
426,432885000,-48,1,1
427,433885000,-48,1,1
428,434885000,-46,1,1
429,435885000,-40,1,1
430,436885000,40,0,0
431,437885000,-40,1,1
432,438885000,-42,1,1
433,439885000,42,0,0
434,440885000,46,0,0
435,441885000,46,0,0
436,442885000,42,0,0
437,443885000,-42,1,1
438,444885000,-42,1,1
439,445885000,42,0,0
440,446885000,42,0,0
441,447885000,-42,1,1
442,448885000,-46,1,1
443,449885000,-42,1,1
444,450885000,42,0,0
445,451885000,46,0,0
446,452885000,42,0,0
447,453885000,-42,1,1
448,454885000,-40,1,1
449,455885000,40,0,0
450,456885000,-40,1,1
451,457885000,-40,1,1
452,458885000,40,0,0
453,459885000,-40,1,1
454,460885000,-46,1,1
455,461885000,-42,1,1
456,462885000,42,0,0
457,463885000,46,0,0
458,464885000,40,0,0
459,465885000,-38,1,1
460,466885000,38,0,0
461,467885000,-38,1,1
462,468885000,40,0,0
463,469885000,46,0,0
464,470885000,46,0,0
465,471885000,40,0,0
466,472885000,-40,1,1
467,473885000,40,0,0
468,474885000,46,0,0
469,475885000,42,0,0
470,476885000,-42,1,1
471,477885000,-42,1,1
472,478885000,42,0,0
473,479885000,40,0,0
474,480885000,-38,1,1
475,481885000,38,0,0
476,482885000,-38,1,1
477,483885000,38,0,0
478,484885000,-38,1,1
479,485885000,40,0,0
480,486885000,46,0,0
481,487885000,46,0,0
482,488885000,42,0,0
483,489885000,-42,1,1
484,490885000,-40,1,1
485,491885000,38,0,0
486,492885000,-38,1,1
487,493885000,40,0,0
488,494885000,42,0,0
