"rx_index","time_ns","softOut"
"524","530885000","-48"
"525","531885000","-46"
"526","532885000","-42"
"527","533885000","42"
"528","534885000","42"
"529","535885000","-42"
"530","536885000","-42"
"531","537885000","42"
"532","538885000","46"
"533","539885000","48"
"534","540885000","46"
"535","541885000","40"
"536","542885000","-38"
"537","543885000","38"
"538","544885000","-40"
"539","545885000","-46"
"540","546885000","-42"
"541","547885000","42"
"542","548885000","42"
"543","549885000","-42"
"544","550885000","-46"
"545","551885000","-40"
"546","552885000","40"
"547","553885000","-40"
"548","554885000","-40"
"549","555885000","40"
"550","556885000","-40"
"551","557885000","-40"
"552","558885000","38"
"553","559885000","-38"
"554","560885000","40"
"555","561885000","40"
"556","562885000","-38"
"557","563885000","38"
"558","564885000","-40"
"559","565885000","-46"
"560","566885000","-40"
"561","567885000","38"
"562","568885000","-38"
"563","569885000","38"
"564","570885000","-40"
"565","571885000","-46"
"566","572885000","-40"
"567","573885000","38"
"568","574885000","-38"
"569","575885000","40"
"570","576885000","46"
"571","577885000","40"
"572","578885000","-40"
"573","579885000","40"
"574","580885000","46"
"575","581885000","46"
"576","582885000","42"
"577","583885000","-42"
"578","584885000","-46"
"579","585885000","-42"
"580","586885000","42"
"581","587885000","46"
"582","588885000","48"
"583","589885000","46"
"584","590885000","42"
"585","591885000","-42"
"586","592885000","-40"
"587","593885000","40"
"588","594885000","-40"
"589","595885000","-40"
"590","596885000","40"
"591","597885000","-40"
"592","598885000","-40"
"593","599885000","38"
"594","600885000","-38"
"595","601885000","40"
"596","602885000","46"
"597","603885000","48"
"598","604885000","46"
"599","605885000","40"
"600","606885000","-40"
"601","607885000","40"
"602","608885000","42"
"603","609885000","-42"
"604","610885000","-42"
"605","611885000","42"
"606","612885000","46"
"607","613885000","42"
"608","614885000","-42"
"609","615885000","-42"
"610","616885000","42"
"611","617885000","46"
"612","618885000","40"
"613","619885000","-38"
"614","620885000","38"
"615","621885000","-38"
"616","622885000","38"
"617","623885000","-38"
"618","624885000","38"
"619","625885000","-40"
"620","626885000","-42"
"621","627885000","42"
"622","628885000","42"
"623","629885000","-42"
"624","630885000","-46"
"625","631885000","-40"
"626","632885000","38"
"627","633885000","-38"
"628","634885000","38"
"629","635885000","-40"
"630","636885000","-46"
"631","637885000","-40"
"632","638885000","40"
"633","639885000","-40"
"634","640885000","-40"
"635","641885000","40"
"636","642885000","-40"
"637","643885000","-40"
"638","644885000","40"
"639","645885000","-40"
"640","646885000","-40"
"641","647885000","40"
"642","648885000","-40"
"643","649885000","-46"
"644","650885000","-42"
"645","651885000","42"
"646","652885000","42"
"647","653885000","-42"
"648","654885000","-46"
"649","655885000","-40"
"650","656885000","40"
"651","657885000","-40"
"652","658885000","-46"
"653","659885000","-46"
"654","660885000","-40"
"655","661885000","40"
"656","662885000","-40"
"657","663885000","-46"
"658","664885000","-40"
"659","665885000","38"
"660","666885000","-38"
"661","667885000","40"
"662","668885000","46"
"663","669885000","40"
"664","670885000","-38"
"665","671885000","38"
"666","672885000","-40"
"667","673885000","-46"
"668","674885000","-46"
"669","675885000","-40"
"670","676885000","38"
"671","677885000","-38"
"672","678885000","38"
"673","679885000","-40"
"674","680885000","-40"
"675","681885000","38"
"676","682885000","-38"
"677","683885000","38"
"678","684885000","-40"
"679","685885000","-46"
"680","686885000","-40"
"681","687885000","38"
"682","688885000","-38"
"683","689885000","40"
"684","690885000","46"
"685","691885000","42"
"686","692885000","-42"
"687","693885000","-40"
"688","694885000","40"
"689","695885000","-40"
"690","696885000","-40"
"691","697885000","38"
"692","698885000","-38"
"693","699885000","38"
"694","700885000","-40"
"695","701885000","-42"
"696","702885000","42"
"697","703885000","46"
"698","704885000","46"
"699","705885000","42"
"700","706885000","-42"
"701","707885000","-42"
"702","708885000","42"
"703","709885000","42"
"704","710885000","-42"
"705","711885000","-42"
"706","712885000","42"
"707","713885000","40"
"708","714885000","-38"
"709","715885000","38"
"710","716885000","-38"
"711","717885000","38"
"712","718885000","-38"
"713","719885000","40"
"714","720885000","46"
"715","721885000","46"
"716","722885000","42"
"717","723885000","-42"
"718","724885000","-46"
"719","725885000","-40"
"720","726885000","38"
"721","727885000","-38"
"722","728885000","40"
"723","729885000","46"
"724","730885000","46"
"725","731885000","40"
"726","732885000","-38"
"727","733885000","38"
"728","734885000","-38"
"729","735885000","38"
"730","736885000","-40"
"731","737885000","-40"
"732","738885000","40"
"733","739885000","-40"
"734","740885000","-42"
"735","741885000","42"
"736","742885000","42"
"737","743885000","-42"
"738","744885000","-46"
"739","745885000","-48"
"740","746885000","-46"
"741","747885000","-40"
"742","748885000","38"
"743","749885000","-38"
"744","750885000","40"
"745","751885000","46"
"746","752885000","42"
"747","753885000","-42"
"748","754885000","-42"
"749","755885000","42"
"750","756885000","40"
"751","757885000","-40"
"752","758885000","40"
"753","759885000","42"
"754","760885000","-42"
"755","761885000","-42"
"756","762885000","42"
"757","763885000","46"
"758","764885000","46"
"759","765885000","40"
"760","766885000","-40"
"761","767885000","40"
"762","768885000","46"
"763","769885000","46"
"764","770885000","40"
"765","771885000","-40"
"766","772885000","40"
"767","773885000","46"
"768","774885000","48"
"769","775885000","46"
"770","776885000","42"
"771","777885000","-42"
"772","778885000","-46"
"773","779885000","-48"
"774","780885000","-48"
"775","781885000","-48"
"776","782885000","-46"
"777","783885000","-40"
"778","784885000","40"
"779","785885000","-40"
"780","786885000","-42"
"781","787885000","42"
"782","788885000","40"
"783","789885000","-40"
"784","790885000","40"
"785","791885000","46"
"786","792885000","40"
"787","793885000","-40"
"788","794885000","40"
"789","795885000","46"
"790","796885000","48"
"791","797885000","46"
"792","798885000","40"
"793","799885000","-38"
"794","800885000","38"
"795","801885000","-38"
"796","802885000","38"
"797","803885000","-38"
"798","804885000","40"
"799","805885000","46"
"800","806885000","48"
"801","807885000","46"
"802","808885000","42"
"803","809885000","-42"
"804","810885000","-46"
"805","811885000","-48"
"806","812885000","-46"
"807","813885000","-40"
"808","814885000","40"
"809","815885000","-40"
"810","816885000","-40"
"811","817885000","38"
"812","818885000","-38"
"813","819885000","40"
"814","820885000","46"
"815","821885000","42"
"816","822885000","-42"
"817","823885000","-42"
"818","824885000","42"
"819","825885000","40"
"820","826885000","-38"
"821","827885000","38"
"822","828885000","-38"
"823","829885000","40"
"824","830885000","40"
"825","831885000","-40"
"826","832885000","40"
"827","833885000","40"
"828","834885000","-38"
"829","835885000","38"
"830","836885000","-38"
"831","837885000","40"
"832","838885000","46"
"833","839885000","42"
"834","840885000","-42"
"835","841885000","-42"
"836","842885000","42"
"837","843885000","42"
"838","844885000","-42"
"839","845885000","-46"
"840","846885000","-48"
"841","847885000","-46"
"842","848885000","-42"
"843","849885000","42"
"844","850885000","40"
"845","851885000","-38"
"846","852885000","38"
"847","853885000","-38"
"848","854885000","40"
"849","855885000","42"
"850","856885000","-42"
"851","857885000","-42"
"852","858885000","42"
"853","859885000","46"
"854","860885000","48"
"855","861885000","46"
"856","862885000","42"
"857","863885000","-42"
"858","864885000","-42"
"859","865885000","42"
"860","866885000","42"
"861","867885000","-42"
"862","868885000","-46"
"863","869885000","-40"
"864","870885000","38"
"865","871885000","-38"
"866","872885000","38"
"867","873885000","-40"
"868","874885000","-46"
"869","875885000","-42"
"870","876885000","42"
"871","877885000","42"
"872","878885000","-42"
"873","879885000","-42"
"874","880885000","42"
"875","881885000","42"
"876","882885000","-42"
"877","883885000","-42"
"878","884885000","42"
"879","885885000","40"
"880","886885000","-40"
"881","887885000","40"
"882","888885000","42"
"883","889885000","-42"
"884","890885000","-46"
"885","891885000","-40"
"886","892885000","40"
"887","893885000","-40"
"888","894885000","-46"
"889","895885000","-46"
"890","896885000","-40"
"891","897885000","40"
"892","898885000","-40"
"893","899885000","-42"
"894","900885000","42"
"895","901885000","42"
"896","902885000","-42"
"897","903885000","-46"
"898","904885000","-42"
"899","905885000","42"
"900","906885000","40"
"901","907885000","-38"
"902","908885000","38"
"903","909885000","-40"
"904","910885000","-42"
"905","911885000","42"
"906","912885000","46"
"907","913885000","40"
"908","914885000","-40"
"909","915885000","40"
"910","916885000","46"
"911","917885000","40"
"912","918885000","-40"
"913","919885000","40"
"914","920885000","40"
"915","921885000","-40"
"916","922885000","40"
"917","923885000","46"
"918","924885000","46"
"919","925885000","40"
"920","926885000","-40"
"921","927885000","40"
"922","928885000","46"
"923","929885000","46"
"924","930885000","42"
"925","931885000","-42"
"926","932885000","-46"
"927","933885000","-46"
"928","934885000","-42"
"929","935885000","42"
"930","936885000","46"
"931","937885000","42"
"932","938885000","-42"
"933","939885000","-46"
"934","940885000","-46"
"935","941885000","-42"
"936","942885000","42"
"937","943885000","42"
"938","944885000","-42"
"939","945885000","-46"
"940","946885000","-46"
"941","947885000","-42"
"942","948885000","42"
"943","949885000","46"
"944","950885000","46"
"945","951885000","40"
"946","952885000","-40"
"947","953885000","40"
"948","954885000","46"
"949","955885000","40"
"950","956885000","-38"
"951","957885000","38"
"952","958885000","-40"
"953","959885000","-46"
"954","960885000","-42"
"955","961885000","42"
"956","962885000","42"
"957","963885000","-42"
"958","964885000","-42"
"959","965885000","42"
"960","966885000","46"
"961","967885000","42"
"962","968885000","-42"
"963","969885000","-42"
"964","970885000","42"
"965","971885000","42"
"966","972885000","-42"
"967","973885000","-46"
"968","974885000","-48"
"969","975885000","-46"
"970","976885000","-40"
"971","977885000","38"
"972","978885000","-38"
"973","979885000","38"
"974","980885000","-38"
"975","981885000","40"
"976","982885000","40"
"977","983885000","-40"
"978","984885000","40"
"979","985885000","46"
"980","986885000","48"
"981","987885000","48"
"982","988885000","46"
"983","989885000","40"
"984","990885000","-40"
"985","991885000","40"
"986","992885000","46"
"987","993885000","46"
"988","994885000","40"
"989","995885000","-40"
"990","996885000","40"
"991","997885000","42"
"992","998885000","-42"
"993","999885000","-46"
"994","1000885000","-40"
"995","1001885000","38"
"996","1002885000","-38"
"997","1003885000","40"
"998","1004885000","40"
"999","1005885000","-38"
"1000","1006885000","38"
"1001","1007885000","-40"
"1002","1008885000","-46"
"1003","1009885000","-48"
"1004","1010885000","-46"
"1005","1011885000","-42"
"1006","1012885000","42"
"1007","1013885000","42"
"1008","1014885000","-42"
"1009","1015885000","-46"
"1010","1016885000","-40"
"1011","1017885000","40"
"1012","1018885000","-40"
"1013","1019885000","-46"
"1014","1020885000","-48"
"1015","1021885000","-48"
"1016","1022885000","-48"
"1017","1023885000","-48"
"1018","1024885000","-48"
"1019","1025885000","-46"
"1020","1026885000","-40"
"1021","1027885000","40"
"1022","1028885000","-40"
"1023","1029885000","-40"
"1024","1030885000","38"
"1025","1031885000","-38"
"1026","1032885000","40"
"1027","1033885000","40"
"1028","1034885000","-40"
"1029","1035885000","40"
"1030","1036885000","42"
"1031","1037885000","-42"
"1032","1038885000","-40"
"1033","1039885000","40"
"1034","1040885000","-40"
"1035","1041885000","-46"
"1036","1042885000","-48"
"1037","1043885000","-46"
"1038","1044885000","-40"
"1039","1045885000","38"
"1040","1046885000","-38"
"1041","1047885000","40"
"1042","1048885000","42"
"1043","1049885000","-42"
"1044","1050885000","-46"
"1045","1051885000","-42"
"1046","1052885000","42"
"1047","1053885000","42"
